,country,director,major character,title,type,year
54,美国 加拿大,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥 L..,猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台),传记 犯罪 剧情,2002
55,德国,弗洛里安·亨克尔·冯·多纳斯马尔克,,窃听风暴 / Das Leben der Anderen / 窃听者(港)  /  他人的生活,剧情 悬疑,2006
56,新西兰 美国,彼得·杰克逊,伊利亚·伍德 Elijah Wood / 西恩..,指环王1:魔戒再现 / The Lord of the Rings: The Fellowship of the Ring / 魔戒首部曲:魔戒现身  /  指环王I:护戒使者,剧情 动作 奇幻 冒险,2001
57,法国 德国 英国 波兰,罗曼·波兰斯基,艾德里安·布洛迪 Adrien Brod..,钢琴家 / The Pianist / 钢琴战曲(港)  /  战地琴人(台),剧情 传记 历史 战争 音乐,2002
58,美国 澳大利亚,安迪·沃卓斯基,,黑客帝国 / The Matrix / 22世纪杀人网络(港)  /  廿二世纪杀人网络(港),动作 科幻,1999
59,美国,朗·霍华德,罗素·克劳 Russell Crowe / 艾德·哈..,美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),传记 剧情,2001
60,中国台湾 美国,李安,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴..,饮食男女 / 飲食男女 / Eat Drink Man Woman,剧情 家庭,1994
61,英国,Guy,,"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",剧情 喜剧 犯罪,1998
62,美国,米洛斯·福尔曼,杰克·尼科尔森 Jack Nichols..,飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝(台)  /  飞越喜鹊巢,剧情,1975
63,中国大陆 中国香港,姜文,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F..,让子弹飞 / 让子弹飞一会儿  /  火烧云,剧情 喜剧 动作 西部,2010
64,美国,大卫·芬奇,凯特·布兰切特 Cate Blanchett / ..,本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),剧情 爱情 奇幻,2008
65,美国,彼得·法雷里,维果·莫腾森 Viggo Mortensen /..,绿皮书 / Green Book / 绿簿旅友(港)  /  幸福绿皮书(台),剧情 喜剧 传记,2018
66,西班牙,奥里奥尔·保罗,马里奥·卡萨斯 Mario Casas / 阿..,看不见的客人 / Contratiempo / 死无对证(港)  /  布局(台),剧情 犯罪 悬疑 惊悚,2016
67,意大利 美国,朱塞佩·托纳多雷,莫妮卡·贝鲁奇 Monica ..,西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,剧情 战争 情色,2000
68,美国,史蒂文·斯皮尔伯格,汤姆·汉克斯 Tom Hanks..,拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),剧情 历史 战争,1998
69,德国 瑞士 南非,阿兰·葛斯彭纳,阿努克·斯特芬 Anuk Steffen /..,海蒂和爷爷 / Heidi / 飘零燕(港)  /  海蒂,剧情 冒险 家庭,2015
70,伊朗,马基德·马基迪,法拉赫阿米尔·哈什米安 Amir Fa..,小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋,剧情 儿童 家庭,1997
71,英国 美国,马克·赫尔曼,阿萨·巴特菲尔德 Asa Butterfield ..,穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,剧情 战争,2008
72,日本,岩井俊二,中山美穗 Miho Nakayama / 丰川悦司 Ets..,情书 / Love Letter / When I Close My Eyes  /  Letters of Love,剧情 爱情,1995
73,美国,路易·西霍尤斯,Richard O'Barry / 路易·西霍..,海豚湾 / The Cove / 血色海湾(台)  /  海湾,纪录片,2009
74,美国,罗伯特·怀斯,朱莉·安德鲁斯 Julie Andrews / 克..,音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),剧情 传记 爱情 歌舞,1965
75,美国 意大利,赛尔乔·莱翁内,罗伯特·德尼罗 Robert De Niro ..,美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),犯罪 剧情,1984
76,英国 美国,克里斯托弗·诺兰,休·杰克曼 Hugh Jackman..,致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港),剧情 悬疑 惊悚,2006
77,美国,昆汀·塔伦蒂诺,约翰·特拉沃尔塔 John Tra..,低俗小说 / Pulp Fiction / 危险人物(港)  /  黑色追缉令(台),剧情 喜剧 犯罪,1994
78,美国,乔纳森·戴米,朱迪·福斯特 Jodie Foster / 安..,沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,剧情 犯罪 惊悚,1991
79,美国,大卫·芬奇,摩根·弗里曼 Morgan Freeman / 布..,七宗罪 / Se7en / 火线追缉令(台)  /  7宗罪,剧情 犯罪 悬疑 惊悚,1995
80,美国 加拿大,埃里克·布雷斯,,蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,剧情 悬疑 科幻 惊悚,2004
81,美国,Martin,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ..,禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台),剧情 悬疑 惊悚,2010
82,美国,格斯·范·桑特,马特·达蒙 Matt Damon / 罗宾·..,心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,剧情,1997
83,中国香港 日本 韩国,王家卫,张国荣 Leslie Cheung / 梁朝伟 Tony Leu..,春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,剧情 爱情 同性,1997
84,美国 德国 英国,韦斯·安德森,拉尔夫·费因斯 Ralph Fiennes / ..,布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),剧情 喜剧 冒险,2014
85,日本,中岛哲也,中谷美纪 Miki Nakatani / 瑛太 E..,被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),剧情 歌舞,2006
86,美国,查理·卓别林,查理·卓别林 Charles Chaplin ..,摩登时代 / Modern Times / The Masses  /  Les Temps modernes,剧情 喜剧 爱情,1936
87,美国 英国,詹姆斯·卡梅隆,萨姆·沃辛顿 Sam Worthington ..,阿凡达 / Avatar / 天神下凡(港)  /  化身,动作 科幻 冒险,2009
88,美国,蒂姆·波顿,约翰尼·德普 Johnny Depp / 薇诺娜·..,剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华,剧情 奇幻 爱情,1990
